LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID5563355,5563355,484,0.7748119831085205,254.75127120547128,719.7560544232135,0.0,2520.0,2520,17.5,1,,103.1314072693383,65.0,0.0,255.0,110660.0,87.57223282690809,0.10382906548388103,0.22154993970645898
ID5563941,5563941,484,0.7766189575195312,256.63436016260954,717.734115907517,0.0,2521.0,2521,17.5,1,,106.29450139794967,74.0,0.0,255.0,114054.0,82.96734959288828,0.1201725457191198,0.2748868186089254
ID5564562,5564562,484,0.8334947228431702,261.9759733159458,718.3062258680749,0.0,2522.0,2522,17.5,1,,103.91798695246972,72.0,0.0,255.0,111504.0,82.95343946053036,0.13371899836896284,0.2955112463500663
ID5565800,5565800,484,0.8041321635246277,260.5944589822895,720.7506682823654,0.0,2523.0,2523,17.5,1,,107.11276794035415,76.0,0.0,255.0,114932.0,85.4165788106048,0.1356981350419822,0.2996677669609227
ID5565185,5565185,484,0.6973157525062561,259.541198282249,720.3388621052169,0.0,2524.0,2524,17.5,1,,99.73066169617894,68.0,0.0,255.0,107011.0,81.87250714690957,0.07493791632593629,0.1698395527709281
ID5566427,5566427,484,0.7327344417572021,257.94959378004705,723.2024922240414,0.0,2525.0,2525,17.5,1,,107.15936626281454,76.0,0.0,255.0,114982.0,83.66614619427031,0.11484264768524055,0.2638760592150065
ID5567046,5567046,484,0.7141075730323792,257.9851668143809,723.8043371099069,0.0,2526.0,2526,17.5,1,,106.45386766076422,79.0,0.0,255.0,114225.0,81.85193201551654,0.1157116499888789,0.26976625573017265
ID5567657,5567657,484,0.6914754509925842,260.62277425308156,723.5245744542003,0.0,2527.0,2527,17.5,1,,107.32339235787512,77.0,0.0,255.0,115158.0,79.35870988587085,0.10571460966134191,0.25859596914011523
ID5568264,5568264,484,0.7192798256874084,263.5035397581052,720.5846859730254,0.0,2528.0,2528,17.5,1,,104.71015843429636,75.0,0.0,255.0,112354.0,82.4738813205014,0.10656106570084989,0.244526284282526
ID5570128,5570128,484,0.6878423690795898,260.56834020425504,721.4756918935946,0.0,2529.0,2529,17.5,1,,105.97763280521902,73.0,0.0,255.0,113714.0,82.86954470455582,0.0989627666230535,0.23032342332459896
ID5569500,5569500,484,0.6893085241317749,254.95148431144722,718.0413022315988,0.0,2530.0,2530,17.5,1,,103.1780055917987,70.0,0.0,255.0,110710.0,83.4727198763519,0.09955707918854516,0.2238344492608167
ID5570715,5570715,484,0.7333179116249084,257.7934407756519,714.235944112063,0.0,2531.0,2531,17.5,1,,107.78005591798696,81.0,0.0,255.0,115648.0,76.55741244562786,0.10978886598547598,0.278547387607789
ID5571335,5571335,484,0.7354851365089417,263.45690580763244,712.6007157397524,0.0,2532.0,2532,17.5,1,,110.54426840633737,82.0,0.0,255.0,118614.0,78.76363982356463,0.10220738484627727,0.26029115331451846
ID5568951,5568951,484,0.809718132019043,261.8364304209354,710.4734583176684,0.0,2533.0,2533,17.5,1,,109.75209692451072,76.0,0.0,255.0,117764.0,80.06228951981537,0.12067024120460035,0.2952141419744678
ID5572570,5572570,484,0.8027574419975281,262.3871016704769,713.7790359121198,0.0,2534.0,2534,17.5,1,,105.21994408201304,74.0,0.0,255.0,112901.0,81.9256698809638,0.1262362012838619,0.28791380915607256
ID5571962,5571962,484,0.8199324011802673,262.1996659181516,716.0410695459948,0.0,2535.0,2535,17.5,1,,106.09226467847158,72.0,0.0,255.0,113837.0,84.88494114399496,0.1254686501004204,0.278666579679111
ID5573198,5573198,484,0.7886990308761597,258.0175277991883,714.4679438601829,0.0,2536.0,2536,17.5,1,,106.42497670083877,74.0,0.0,255.0,114194.0,82.86596921049345,0.11620258352934465,0.26740535837833684
ID5573827,5573827,484,0.7749663591384888,256.0121520366103,713.8143864379728,0.0,2537.0,2537,17.5,1,,100.62255358807083,68.0,0.0,255.0,107968.0,84.81314038464767,0.10577563435206251,0.22697645489576668
ID5574444,5574444,484,0.7450360059738159,254.60482897779346,712.3387986094116,0.0,2538.0,2538,17.5,1,,102.1770736253495,64.0,0.0,255.0,109636.0,87.16197156629612,0.09719642003910108,0.20769320967415134
ID5575062,5575062,484,0.7614926695823669,253.27101233921374,715.1065563470305,0.0,2539.0,2539,17.5,1,,101.7017707362535,62.0,0.0,255.0,109126.0,85.89414783939344,0.11072000916104219,0.2360567656295292
ID5575679,5575679,484,0.7600746750831604,251.37634429283037,714.8490636247102,0.0,2540.0,2540,17.5,1,,104.09972041006523,69.0,0.0,255.0,111699.0,85.51769657305202,0.10994631731946147,0.2411583349664768
ID5576303,5576303,484,0.7557622194290161,248.0809485675835,716.3063977341544,0.0,2541.0,2541,17.5,1,,95.78378378378379,60.0,0.0,255.0,102776.0,85.44532072503387,0.09494951471733153,0.19441615712514698
ID5576927,5576927,484,0.7053378820419312,244.50133914201663,719.6072002583008,0.0,2542.0,2542,17.5,1,,95.49767008387698,61.0,0.0,255.0,102469.0,85.87372630535121,0.07074347033696747,0.14694790161481222
ID5577546,5577546,484,0.7679502964019775,246.57099746194177,715.4669444294607,0.0,2543.0,2543,17.5,1,,98.64398881640261,67.0,0.0,255.0,105845.0,83.5337317006474,0.09611744636779661,0.20710179910292156
ID5578162,5578162,484,0.753517210483551,251.49665623839573,715.5686903205957,0.0,2544.0,2544,17.5,1,,99.51071761416588,67.0,0.0,255.0,106775.0,85.70994194424144,0.10700325567031979,0.22444852019902375
ID5579438,5579438,484,0.7614027261734009,248.61959688415567,716.1351450370349,0.0,2545.0,2545,17.5,1,,101.91891891891892,73.0,0.0,255.0,109359.0,86.3774039881132,0.12111021115960786,0.25492774810719127
ID5580667,5580667,484,0.7457805275917053,249.29557764451894,718.068793165093,0.0,2546.0,2546,17.5,1,,95.96085740913327,63.0,0.0,255.0,102966.0,86.7920849141314,0.07205955820016065,0.14863349027306663
ID5581908,5581908,484,0.7330032587051392,249.50944471902704,719.0152849551822,0.0,2547.0,2547,17.5,1,,99.76048462255359,69.0,0.0,255.0,107043.0,85.3054949398286,0.07435904287185255,0.161881002856071
ID5578802,5578802,484,0.771608293056488,253.0115645853747,716.065467679348,0.0,2548.0,2548,17.5,1,,102.24976700838769,66.0,0.0,255.0,109714.0,86.90236770923941,0.10664378260619697,0.22677146515629473
ID5580046,5580046,484,0.7960628271102905,256.9665263755929,718.8603632977525,0.0,2549.0,2549,17.5,1,,101.9645852749301,71.0,0.0,255.0,109408.0,81.75919464382221,0.11942085760515085,0.26609060380029115
ID5581291,5581291,484,0.7642667293548584,258.5183678162988,723.085244943604,0.0,2550.0,2550,17.5,1,,101.03448275862068,67.0,0.0,255.0,108410.0,82.90723621791332,0.10587697750646499,0.23334682620117744
ID5583152,5583152,484,0.8019465208053589,258.6287757176174,724.1065897838357,0.0,2551.0,2551,17.5,1,,100.84342963653309,67.0,0.0,255.0,108205.0,87.65158349807052,0.11655484004958012,0.24019728319680175
ID5582532,5582532,484,0.8256643414497375,258.82444730851597,725.4296627513409,0.0,2552.0,2552,17.5,1,,98.30009319664492,66.0,0.0,255.0,105476.0,86.3922381657627,0.1123793521241913,0.22990202939847956
ID5583777,5583777,484,0.8297770023345947,258.6758154142799,725.5520450875207,0.0,2553.0,2553,17.5,1,,101.41472506989749,69.0,0.0,255.0,108818.0,86.86172559028658,0.13413963696829626,0.2761805933572877
ID5586894,5586894,484,0.8457809686660767,260.17968041070696,724.3961692223047,0.0,2554.0,2554,17.5,1,,100.00838769804287,65.0,0.0,255.0,107309.0,85.94819532908869,0.11780793074994661,0.2452658036155496
ID5585639,5585639,484,0.9338005781173706,265.6619186024336,726.9326043705719,0.0,2555.0,2555,17.5,1,,106.30661696178937,76.0,0.0,255.0,114067.0,85.62111807857792,0.17293160837399263,0.3661095767593678
ID5585023,5585023,484,0.9027745723724365,261.93878250247883,725.7903806504171,0.0,2556.0,2556,17.5,1,,103.61975768872321,69.0,0.0,255.0,111184.0,86.2205869225531,0.1559840027875826,0.32433202219422647
ID5584402,5584402,484,0.9013885259628296,262.33990770434616,727.3931484604151,0.0,2557.0,2557,17.5,1,,104.97483690587138,68.0,0.0,255.0,112638.0,84.43523041293072,0.15420784218761097,0.33221095586290794
ID5586274,5586274,484,0.8903111815452576,266.6107527421422,727.9520156912762,0.0,2558.0,2558,17.5,1,,105.21155638397018,74.0,0.0,255.0,112892.0,84.45730494671658,0.14710771751431706,0.3195122234442036
ID5587971,5587971,484,0.8585958480834961,267.61093791543794,729.8271536562264,0.0,2559.0,2559,17.5,1,,109.33271202236719,78.0,0.0,255.0,117314.0,84.90918228767254,0.1435752920767561,0.3233258315390069
ID5587961,5587961,484,0.8421562910079956,267.1506571483864,729.2919409638132,0.0,2560.0,2560,17.5,1,,108.08201304753028,80.0,0.0,255.0,115972.0,83.35125494209086,0.13067095831109418,0.29971889060868967
ID5591865,5591865,484,0.9046311974525452,265.76334021294815,732.1294014485507,0.0,2561.0,2561,17.5,1,,108.19571295433364,70.0,0.0,255.0,116094.0,85.30919892896986,0.1558907610997239,0.34209582164524327
ID5588771,5588771,484,0.9002019166946411,261.7187625608059,735.9018165710402,0.0,2562.0,2562,17.5,1,,103.74184529356943,73.0,0.0,255.0,111315.0,87.14322514976188,0.14388535744210199,0.29949145419665335
